trailing_12m,next_month_ret,quintile,date,ticker
0.19295616914382197,-0.015634067857978606,1,2021-08-01,ISF.L
0.37970150958792326,-0.05281329661593437,3,2021-08-01,VMID.L
0.23166760020222754,0.0022539618505974524,2,2021-08-01,VUKG.L
0.23059977971362766,-0.004556550040683449,2,2021-08-01,CUKX.L
0.19817825270660205,0.0013239702881806537,2,2021-08-01,XUKX.L
0.324623025302198,-0.047720042159764886,3,2021-08-01,IUKD.L
0.23349643404935083,-0.01978767859688224,3,2021-08-01,VUKE.L
-0.20781954887218046,-0.003340944885392938,1,2021-08-01,XUKS.L
0.18764434863504476,-0.04095979650156223,1,2021-08-01,UKRE.L
0.20305651605679254,0.023371879685244235,1,2021-09-01,ISF.L
0.351956628691503,0.013842233739291832,3,2021-09-01,VMID.L
0.252549811382176,0.020240394698684883,3,2021-09-01,VUKG.L
0.24228269699431348,0.02533921857119492,2,2021-09-01,CUKX.L
0.21754998209299714,0.021087085041324505,2,2021-09-01,XUKX.L
0.32415775795231205,0.020690827700399206,3,2021-09-01,IUKD.L
0.23863811732410878,0.03984784126104457,2,2021-09-01,VUKE.L
-0.21934105119133984,-0.02163646574912126,1,2021-09-01,XUKS.L
0.16838742480662638,0.025955642176994864,1,2021-09-01,UKRE.L
0.289497503992433,-0.022858811271085022,1,2021-10-01,ISF.L
0.36144778944104505,-0.024815437924945116,3,2021-10-01,VMID.L
0.3395784058536029,-0.01847055523582919,3,2021-10-01,VUKG.L
0.3353204172876305,-0.023596938775510168,2,2021-10-01,CUKX.L
0.3036298623950011,-0.021196825389945384,2,2021-10-01,XUKX.L
0.40358745182502953,-0.008457103696720925,3,2021-10-01,IUKD.L
0.3395089608035795,-0.020652623057267894,2,2021-10-01,VUKE.L
-0.2701750574051678,0.019545318961696978,1,2021-10-01,XUKS.L
0.22450219841066188,0.0299250596180618,1,2021-10-01,UKRE.L
0.12078876067582045,0.03956695233147767,1,2021-11-01,ISF.L
0.18159131936792927,0.039028176163958817,3,2021-11-01,VMID.L
0.1643824125767297,0.038952908381093554,2,2021-11-01,VUKG.L
0.1598484848484849,0.04817112998040507,2,2021-11-01,CUKX.L
0.12951530163443725,0.04456527283768619,1,2021-11-01,XUKX.L
0.18899985279605924,0.036593799675010086,3,2021-11-01,IUKD.L
0.1671887692513725,0.03863469726122282,2,2021-11-01,VUKE.L
-0.15594372740986961,-0.04445128776576379,1,2021-11-01,XUKS.L
0.19284970773237697,0.020544960485753494,3,2021-11-01,UKRE.L
0.13198670196072748,0.014237761575085717,1,2021-12-01,ISF.L
0.15839745113053283,-0.05926162754121922,2,2021-12-01,VMID.L
0.17385597345590376,0.01259694383195753,2,2021-12-01,VUKG.L
0.17478038067349932,0.0129303629848887,3,2021-12-01,CUKX.L
0.1455349282968712,0.011865769929858772,1,2021-12-01,XUKX.L
0.1650848282378119,0.039377834230078346,2,2021-12-01,IUKD.L
0.17640236572895218,0.019107063530390267,3,2021-12-01,VUKE.L
-0.16743194500653857,-0.011829531649444003,1,2021-12-01,XUKS.L
0.19996949858121504,-0.04157572827093414,3,2021-12-01,UKRE.L
0.1593408742614506,0.002465495289195152,2,2022-01-01,ISF.L
0.10071009457117541,-0.03897067284838951,1,2022-01-01,VMID.L
0.20157445068320468,0.0036069085307723903,2,2022-01-01,VUKG.L
0.20362828582006665,0.004460166102737695,3,2022-01-01,CUKX.L
0.17074668009388239,0.0040845183902027404,2,2022-01-01,XUKX.L
0.21105499447326914,-0.009577398202648135,3,2022-01-01,IUKD.L
0.2046659459332325,0.0024457233736840944,3,2022-01-01,VUKE.L
-0.1830976418103477,-0.008088651302310401,1,2022-01-01,XUKS.L
0.15933334032713642,-0.016873091699098453,1,2022-01-01,UKRE.L
0.1436823750881957,0.010657091400007035,2,2022-02-01,ISF.L
0.01939841135880238,0.003978654382755575,1,2022-02-01,VMID.L
0.19095033119331783,0.018629888341993084,3,2022-02-01,VUKG.L
0.19070191431175942,0.016077170418006492,3,2022-02-01,CUKX.L
0.1604073746450021,0.019224542706962833,2,2022-02-01,XUKX.L
0.16980454364993136,-0.0028363916574024595,2,2022-02-01,IUKD.L
